stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,4.09,24.52,4.09,0,0,0,0,0,0,0,0,4.09,24.52,0,0,0,192.06,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,0,2.14,0,1.07,0,0,0,1.07,4.28,0,6.42,0,1.07,73.82,24.61,0,4.28,0,2.14,0,0,0,0
21Day,2.68,0,5.35,0,5.35,4.02,0,0,0,6.69,5.35,6.69,2.68,9.37,1.34,0,21.42,10.71,1.34,1.34,1.34,2.68,2.68,1.34,0,4.02
3Month,0,0,4.16,0,0,0,0.32,0.64,0.96,0.32,0,0.64,0,0.96,0,0,0,0,0,0,0.32,0,0,0,0.32,0.64
22Month,0,0,1.64,0,0,0,0,5.47,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0
