stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0,10.56,1.92,1.28,0,2.56,1.6,1.92,0.96,2.88,0.64,0.64,0.32,0.32,0.32,0.32,0.32,0,0,0.32,0.64,1.92
22Month,1.64,1.09,4.37,1.09,7.65,1.64,14.76,1.64,3.83,0,7.65,2.73,1.64,0,0.55,0,0.55,0,0.55,1.09,0,0,0.55
