stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,13.91,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0
21Day,2.68,0,0,2.68,2.68,0,1.34,0,1.34,0,1.34,0,10.71,0,0,0,58.9,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34
3Month,0,1.92,1.6,13.12,0,0.64,0,2.88,19.2,0.64,332.43,253.08,1.28,7.68,3.2,3.2,449.85,6.4,0.96,0.32,2.56,0.64,0.96,0.32,4.8,0.64,9.28,0.96,1.92,0.32,0,2.24,3.52,7.68
22Month,0,1.64,0,7.65,0,1.09,3.28,0.55,21.87,0.55,19.68,62.87,11.48,1.64,0.55,0.55,383.2,4.37,0,1.64,0.55,0,0.55,0,6.01,1.09,1.09,0,0,0,1.64,0.55,0,3.83
