stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,44.95,16.35,0,0,0,0,0,0,0,0,0,40.86,0,8.17,32.69,0,0,8.17,20.43,539.41,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,13.91,23.54,0,0,1.07,0,0,0,0,0,0,3.21,10.7,0,8.56,0,0,1.07,96.28,78.09,0,1.07,0,3.21,0,2.14,14.98,1.07,2.14,0,0,0
21Day,1.34,0,0,9.37,8.03,4.02,0,0,0,0,0,0,1.34,0,4.02,4.02,0,9.37,0,0,0,28.11,25.43,0,0,0,0,8.03,9.37,8.03,0,2.68,0,2.68,1.34
3Month,0.32,1.28,2.88,86.39,4.16,0,1.28,0,2.88,2.56,0,29.44,5.44,8.64,21.12,4.8,7.04,5.44,1.6,1.28,4.48,8.32,1.6,1.6,1.6,0,0,5.12,236.12,1.92,0,0.64,1.92,792.19,4.8
22Month,0,0,0,94.57,0,0,0,0,0,1.09,1.09,13.67,0.55,1.09,9.29,1.09,1.09,1.64,0,0,1.09,4.92,1.09,2.73,0.55,10.39,0,0,109.88,1.64,0,0.55,0,2.19,1.09
