stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,0,10.7,0,6.42,0,0,7.49,4.28,0,1.07,0,0,14.98,0,2.14,0,0,0
21Day,2.68,0,30.79,1.34,0,0,0,0,0,0,0,5.35,1.34,21.42,0,9.37,5.35,0,1.34,1.34,1.34,0,5.35,1.34,0,0,0,0
3Month,0,0.32,35.83,0,0.32,0,1.28,6.72,0.32,0.64,0.64,22.4,0.32,10.88,0.32,7.04,0.64,0,0,0,0.32,2.24,0.64,0,0,0.32,3.52,0.32
22Month,0,0,0.55,0,0,0.55,0.55,10.93,0,1.09,0,2.19,0.55,2.73,0,0,0,0,2.73,0,0,1.09,0.55,0,0,0,0,0.55
