stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,10.71,0,0,0,0,0,0,0,0,0,0,13.39,0,0,0,0,0,0,0,1.34,0,0,0,1.34
3Month,0,0.32,11.52,0,0,0.64,0,0,4.8,0,0.64,8.32,0.32,2.56,0.32,1.28,0.64,0,0,0,0,0.64,0.96,0,0.64,0.32
22Month,1.09,1.64,3.83,1.09,0.55,1.64,3.28,4.37,110.97,3.83,3.83,12.03,0,2.19,3.83,13.12,0,3.28,1.09,1.09,0.55,0,0.55,0.55,0,1.64
