stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.63,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0,0.32,3.84,0.32,0,0.96,0.32,0.32,0,0,0,0,0.32,0,0,0.32,0.32
22Month,0.55,2.19,0,2.73,36.63,0.55,1.09,4.92,0,0.55,1.64,2.73,0.55,1.09,0,1.09,0.55,0,0
