stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,1025.69,0,0,0,0,0,0
72hpf,1.07,0,5.35,1.07,2.14,0,0,0,0,3.21,0,3.21,2.14,11.77,8.56,1061.23,0,1.07,3.21,0,0
21Day,4.02,1.34,6.69,0,6.69,2.68,2.68,1.34,1.34,5.35,1.34,5.35,0,9.37,4.02,1448.29,14.72,0,14.72,20.08,1.34
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0
