stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,24.52,0,0,0,8.17,114.42,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,1.07,1.07,0,0,0,0,0,0,1.07,6.42,0,9.63,0,0,0,55.63,25.67,0,0,3.21,1.07,0,3.21,1.07,0,0,0
21Day,4.02,1.34,17.4,4.02,0,1.34,0,0,2.68,1.34,2.68,8.03,2.68,12.05,0,4.02,0,17.4,10.71,0,0,4.02,0,0,1.34,0,0,0,2.68
3Month,0,0.32,8.96,0,1.6,3.52,7.04,3.84,1.28,1.92,0.64,2.56,3.52,1.92,1.6,0,0.32,0,0,0.32,0.32,0.64,0,7.68,0.32,0,2.88,6.72,5.44
22Month,0,1.09,1.64,0,0,2.19,18.59,1.64,0,2.19,0,0,1.09,1.64,0,0,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0.55
