stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,20.43,0,0,0,0,0,0,0
72hpf,0,2.14,0,0,0,0,0,0,1.07,0,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.34,2.68,1.34,0,0,0,1.34,0,0,0
3Month,0.32,1.92,0.32,0,1.28,0.96,0.64,0,0.32,0.32,0.96,0.32,0,0.96,0,0,0,0.32,0.32,0.32,0.96,0.32,0.64
22Month,1.09,1.09,2.73,1.09,5.47,1.09,1.64,0.55,0,0.55,1.64,0,1.09,0,0,0,1.09,0,0,0.55,0,0,0
