stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,1.07,0,17.12,4.28,0,0,0,2.14,0,0,0
21Day,1.34,0,0,0,1.34,1.34,0,1.34,1.34,0,0,2.68,0,1.34,0,0,0,0,0,0
3Month,0,0.32,0.32,0.32,4.8,0,0.64,0,0.64,0,0.96,0,0,0,0.32,0.32,0,0.32,0.32,0.96
22Month,0,0,0,1.64,0.55,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
