stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,32.69,4.09,8.17,0,0,0,0,4.09,53.12,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,3.21,33.16,1.07,2.14,0,1.07,0,0,10.7,5.35,0,1.07,0,0,0,0,3.21,0,0,0,0,0
21Day,2.68,0,0,24.09,0,2.68,0,5.35,0,1.34,0,0,14.72,0,17.4,2.68,0,8.03,9.37,2.68,0,0,0,0,8.03,4.02,0,0,0,0,5.35,0,44.17,0,0,0,0,4.02
3Month,0.32,0.32,0.32,18.88,0,0,0.64,0.64,3.52,9.6,0,0,28.48,7.36,0.32,13.76,3.2,3.84,5.44,8.64,2.56,0,2.88,3.52,1.28,0,2.24,1.92,0,0.96,3.52,0.32,1257.08,0.64,0,2.56,53.43,4.16
22Month,0,2.19,1.09,4.92,0.55,0,0,0,1.09,7.65,0.55,0,37.72,0.55,0.55,7.11,0.55,1.64,1.64,2.73,0,3.28,0,0.55,1.09,0.55,1.09,0,20.23,0.55,0.55,0,459.19,0,0.55,0,0.55,2.19
