stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,2.14,0,0,2.14,0,0,0,0,0,9.63,0,0,0,1.07,2.14,0,2.14,0,97.35,0
21Day,4.02,1.34,0,1.34,1.34,0,0,0,0,0,0,2.68,0,1.34,2.68,0,1.34,2.68,64.25,0
3Month,0,0.64,0.32,0,0,0.32,0.96,0,0.64,0,0.32,0,0.32,0,0.32,0.32,0,0,5.76,0.32
22Month,0,0.55,0,0,0,0,3.83,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0
