stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,32.69,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0,0,0,0,7.49,6.42,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,1.34,0,0,1.34,2.68,0,0,0,0,1.34,5.35,0,1.34,0,1.34,0,0,2.68
3Month,0.64,0.32,12.8,0,0,0.32,0,0.32,0.64,1.92,0,9.6,1.6,0.96,1.92,3.2,1.92,6.72,1.6,0.32,1.28,1.6,0.32,0.32,0.96,0.96,1.6,67.51,1.28,250.2,3.52
22Month,0,0,6.01,0,0,0,0,0,0,0.55,0.55,1.09,0,0.55,1.64,1.09,0,12.57,0.55,0.55,0,0,0,0,0,0.55,0,12.57,0,1.09,0.55
