stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,87.72,0,0,0,0,0,0,1.07,0,0,0,10.7,26.74,0,1.07,0,0,6.42,10.7,2.14,2.14,0,4.28,0,2.14,1.07,0,0,0,0,0,0
21Day,0,0,0,10.71,198.1,6.69,0,13.39,0,0,0,0,0,22.76,0,2.68,34.8,40.16,8.03,0,0,5.35,12.05,4.02,0,5.35,1.34,1.34,0,0,0,5.35,0,0,0,1.34
3Month,0,0.32,0.64,183.01,16.96,0,0.64,0,0.64,2.88,0.32,9.28,5.44,0.96,3.52,12.16,2.88,47.35,4.48,0.96,0,10.24,3.2,0.32,0.64,0.64,0,0.96,5.76,0,0,0,0.64,0.32,49.27,0.64
22Month,0,0,3.28,80.36,12.57,0,0.55,2.19,0.55,7.65,6.56,19.68,1.64,5.47,1.09,0,1.09,61.23,5.47,0,0.55,2.19,1.64,0.55,1.09,0,0,0,9.29,2.19,0.55,0,0,0,0,0
