stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell
24hpf,57.21,678.34,0,0,0,0,0,0,4.09,8.17,0,192.06,0,0,318.74,0,40.86,0,0,0
72hpf,10.7,104.84,5.35,2.14,0,0,0,0,0,250.33,0,162.61,0,19.26,8.56,0,42.79,0,1.07,0
21Day,8.03,160.62,1.34,2.68,1.34,1.34,1.34,1.34,1.34,95.04,1.34,148.58,2.68,6.69,2.68,1.34,44.17,6.69,1.34,4.02
3Month,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0
