stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0
3Month,0,4.16,0,0,0.64,0.32,0,3.2,0.64,0,1.92,2.24,2.88,1.28,0,0,0,0,0.64,0,1.6,0.32,1.28,9.6
22Month,0.55,7.65,0.55,0.55,3.83,0.55,1.64,18.59,0,1.09,31.16,1.09,6.56,2.19,0.55,2.19,0.55,0,1.09,0.55,4.92,0.55,0,10.93
