stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
72hpf,0,0,2.14,0,3.21,1.07,0,0
21Day,1.34,1.34,0,1.34,1.34,0,6.69,0
3Month,0.32,1.92,0,0,0.32,0,0,0.64
