stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,4.09,8.17,0,0,0,0,0,0,8.17,12.26,0,0,65.38,0,0,4.09,0,0,0,0,0
72hpf,1.07,0,3.21,1.07,0,0,0,0,1.07,1.07,4.28,1.07,40.65,13.91,0,0,3.21,0,0,3.21,1.07,0
21Day,2.68,0,2.68,2.68,4.02,1.34,0,1.34,2.68,2.68,24.09,0,18.74,9.37,0,0,6.69,2.68,0,2.68,0,0
3Month,0,0,0.64,0,0,0,0.64,0,0,0.32,0,0,0,0,0.32,0.32,0,0,0.32,0,0,0.32
22Month,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0
