stage,Cardiomyocyte,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,2.14,2.14,0
21Day,1.34,1.34,1.34,4.02,1.34,0,1.34
