stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Mt_rich_cell
21Day,0,0,0,2.68,0
3Month,0,0.32,0.32,1.92,0
22Month,0.55,0,15.31,0,2.19
