stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,65.38,0,73.56,8.17,0,0,0,0,0,4.09,4.09,0,0,4.09,0,16.35,24.52,32.69,298.31,0,4.09,0,0,257.44,8328.09,16.35,0,36.78,0,0,0,0,0,4.09,0,0,0
72hpf,39.58,17.12,0,37.44,12.84,24.61,0,0,0,0,0,0,0,0,1.07,0,10.7,44.93,3.21,133.72,0,2.14,5.35,0,1877.48,1230.26,1.07,36.37,144.42,0,0,295.26,5.35,8.56,5.35,0,0,0
21Day,62.91,24.09,2.68,165.98,9.37,46.85,0,13.39,0,1.34,1.34,0,8.03,5.35,8.03,2.68,8.03,26.77,10.71,275.74,1.34,0,44.17,1.34,971.78,716.12,4.02,52.2,70.94,44.17,2.68,121.81,16.06,25.43,14.72,0,0,8.03
3Month,0.32,5.44,0,26.88,0.32,0,0.32,0,0,0.32,2.24,0,12.48,1.92,0.32,2.56,0.32,3.52,0.96,6.4,0.64,0,2.24,0,2.56,0.64,1.6,10.88,0.96,0.64,4.8,0.64,0,0,0,3.2,1.92,2.88
22Month,0.55,7.11,0.55,17.49,0,0,0.55,0.55,0.55,0,3.28,0,57.4,2.19,2.73,3.83,0.55,2.73,6.01,8.75,0,1.09,1.09,0,1.64,1.09,0.55,15.31,1.09,0,1.64,1.09,1.09,0,0,1.09,0,1.09
