stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,4.09,12.26,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,4.28,35.3,0,5.35,0,2.14,0,1.07,4.28,1.07,0,0,0,5.35,0,0,0,0,0,0,0,0,0
21Day,4.02,2.68,0,128.5,4.02,0,0,0,0,0,0,9.37,0,4.02,0,5.35,111.1,5.35,16.06,0,0,5.35,0,17.4,0,0,1.34,0,8.03,4.02,0,0,0,2.68,4.02,0,0,0
3Month,0,3.84,0,40.31,0,0,0.32,1.28,2.24,0,0,108.14,2.88,0.32,16.96,2.88,12.8,4.48,9.92,1.92,0,0.64,3.84,1.28,0.32,2.56,0.96,0,0,2.24,1.92,0,0,0,0,5.76,1.28,4.48
22Month,0.55,2.19,1.09,14.21,0,0.55,0,1.09,3.28,18.59,0,195.16,3.28,1.64,22.96,0.55,1.64,4.92,6.56,0,3.28,1.09,0.55,0.55,0.55,3.28,1.09,0.55,0,1.09,1.09,1.09,1.09,0,0,0,0,1.09
