stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,7.49,0,0,0,0,79.16,44.93,3.21,3.21,0,0,36.37,0,0,0
21Day,0,1.34,0,18.74,5.35,4.02,0,0,0,0,1.34,0,0,0,1.34,8.03,0,30.79,0,0,0,0,54.88,22.76,0,4.02,1.34,0,25.43,6.69,0,0
3Month,0.64,0.96,0.32,17.6,0,0,0,0.32,0,0,16.96,0.96,0.32,6.72,0.64,10.56,1.28,19.52,3.84,0,0.96,1.28,0.32,0,0.96,0.64,0.64,0.96,0,0,0.32,0.64
22Month,0,1.64,0.55,8.2,0,0,1.09,0,1.09,2.73,67.24,1.09,1.09,3.83,0,2.19,2.73,13.67,0,1.09,1.09,0,0,0,1.64,0,0,0,0.55,0,0,0.55
