stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,91.02,0,2.68,0,0,0,0,0,0,0,0,0,26.77,0,1.34,0,0,0,1.34,1.34,0,0,4.02,0,0,0,1.34
3Month,0,0.32,0,116.78,0.32,0,0.64,0.96,1.6,0,8,3.52,0,2.56,7.04,10.56,1.92,1.6,0,1.92,3.84,0.32,0.32,0.32,0.64,0,2.88,0.32,1.28,1.92
22Month,0.55,0,3.28,112.06,0,0,0,2.19,1.09,0.55,11.48,1.09,1.09,1.09,4.37,0.55,4.37,0.55,0.55,5.47,0,0,0.55,0.55,0,0,0,0,0,1.09
