stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,8.17,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,4.28,0,0,0,0,0,0,1.07,0,0,0,0,0,16.05,2.14,4.28,0,1.07,0,0,2.14,0,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,0,0,2.68,0,0,0,6.69,1.34,4.02,0,1.34,0,0,0,1.34,0,0
3Month,0,0.32,7.68,9.28,0.96,4.8,0.64,0.96,0.32,1.6,0.96,6.4,1.6,0,0.64,2.88,0,9.28,0.64,0,0.32,2.24,0.32,0,0.32,83.19
22Month,0,0,2.73,2.19,0.55,4.37,0,1.09,0.55,0,0.55,3.28,0,0.55,0,0.55,0,9.29,0,0,0,3.28,0,0,0,0.55
