stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,20.43,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,3.21,1.07,0,0,0,0,0
21Day,1.34,0,0,4.02,1.34,0,0,0,0,0,0,0,0,0,0,2.68,0,0,17.4,2.68,0,0,1.34,1.34,0,0
3Month,0,0.64,0.32,1.92,0,0,0,0,1.92,0.64,0.32,1.28,0.64,0.64,1.28,1.28,0,0.32,0.32,0,0,11.2,0,0,0.64,0.32
22Month,0,0.55,1.09,2.19,0,1.09,0.55,1.09,29.52,0,0,3.28,0,0.55,1.64,1.09,0.55,0.55,15.85,0,0,3.28,0,0,0,0
