stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,1.07,0,2.14,0,0,0,0,0,2.14,4.28,0,0,2.14,0,0,2.14,0,0
21Day,1.34,0,0,0,0,0,2.68,0,0,0,0,5.35,0,0,1.34,0,0,0,0,1.34,0,0,0,1.34
3Month,0.32,1.92,0.32,0.32,2.24,0.32,0.64,0.96,0,0.64,8.64,0.96,0,0.32,0.32,0,0,0,0,0,5.76,0.32,2.24,0.96
22Month,0,1.64,0.55,0,8.2,0,0.55,1.09,0,0,2.19,1.09,0.55,0,0,0,0.55,1.09,0,0.55,1.64,0,0,0
