stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,1.07,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,2.68,0,0,0,0
3Month,0.96,3.2,0.32,0.32,1.92,3.84,0.96,2.24,1.28,1.6,1.6,0.32,0,0,0,0.32,70.39,0,0.32,38.71,0
22Month,0,0,0,0,1.64,6.56,0,0.55,0,0.55,0,0,0,0,0,0,5.47,0.55,0,0,1.09
