stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,7.49,11.77,0,0,0,2.14,0,0,4.28,0,0,0,0
21Day,0,0,0,66.93,0,4.02,0,0,0,0,0,0,0,6.69,0,2.68,30.79,18.74,13.39,0,0,2.68,0,5.35,18.74,1.34,0,0,2.68,4.02,4.02,5.35,1.34,0,0,0
3Month,0,0.96,1.6,82.87,0.64,0,0.32,0,36.79,2.56,0,22.4,10.88,0.64,51.83,3.84,9.92,14.4,8.96,1.28,0,37.11,0.96,1.92,0.32,7.68,1.28,0,0,1.28,35.83,0.32,0,1.92,2.88,8
22Month,0,4.37,4.37,46.47,0,0,1.64,1.09,13.12,10.39,2.73,126.82,5.47,2.73,34.99,1.64,9.84,23.51,37.72,0,2.73,7.65,0,1.09,2.19,2.73,0.55,0.55,1.09,0,33.35,1.64,0,0,0,6.56
