stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,0,61.3,4.09,4.09,0,8.17,0,0,0,0,0
72hpf,4.28,1.07,10.7,5.35,1.07,0,0,0,1.07,1167.14,0,9.63,53.49,23.54,1.07,3.21,0,2.14,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34
3Month,0,0,0,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0,0.32,0,0
22Month,0,0,0,0,1.09,0.55,0.55,0,0,0,0,0,0,0,0,0,1.09,0,0
