stage,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0
21Day,1.34,0,1.34,0,0,0,58.9,1.34,0,1.34,0,0,1.34,1.34,1.34,26.77
3Month,0,0.32,0,0.32,0,0.32,0.32,0.64,0.32,0,0.96,0.32,0,0,0,7.04
22Month,0,0,0,0,1.64,0.55,0,0.55,0,0,0,0,0,0,0,0.55
