stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0,2.14,1.07,0,5.35,0,1.07,0,2.14,8.56,2.14,0,5.35,0,0,1.07,0,1.07,0,0
21Day,0,1.34,9.37,4.02,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,8.03,0,0,0,2.68,12.05,5.35,0,2.68,0,0,0,2.68,4.02,0,1.34
3Month,0,0,14.72,0,0,0,0.32,0.32,0,0,2.24,0.64,0.32,1.92,3.52,4.48,0.64,2.24,0.96,0,0.32,2.56,0.64,0.32,0,0,0.32,7.68,3.2,0,2.24,0.96,1.6
22Month,0.55,0.55,8.2,0,0,0.55,0,0,3.83,2.73,27.88,1.64,1.09,1.09,1.64,2.19,0.55,0.55,0,1.09,0,0,1.09,0.55,1.64,0,0.55,0,16.4,0.55,0.55,0,1.09
