stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,23.54,0,17.12,0,0,0,0,36.37,4.28,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,25.43,0,29.45,1.34,6.69,0,1.34,5.35,8.03,1.34,0,0,0,0,2.68,1.34,0,0,1.34,2.68,0,0,0
3Month,0.32,0.32,3.84,1.28,8.64,5.76,189.09,0,3.2,3.84,1.6,0.64,0.32,0.32,0.32,0.32,0,0.64,0.64,1.28,0,0,1.28,1.92,0.32
22Month,0,0,15.85,0,20.77,1.64,1.09,0.55,0,4.92,1.64,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0
