stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,12.26,0,4.09,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,13.91,0,1.07,0,0,0,4.28,1.07,0,0,0,2.14,0,1.07,0,0,0
21Day,1.34,0,0,18.74,0,0,0,0,0,0,0,1.34,0,1.34,9.37,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0.32,0.64,4.48,48.63,0,0.32,3.2,1.28,0,7.04,2.56,0.32,2.56,1.6,7.04,1.6,7.36,0.64,7.04,0.64,0,0,1.6,0.32,0,0.64,0.32,55.03,0,23.36,1.6
22Month,0,0.55,1.64,3.83,0,0,0.55,0,3.83,7.11,0.55,0,2.73,0.55,0,1.64,5.47,0,0.55,0,0.55,0,0.55,0,1.09,0.55,0.55,19.13,1.09,0.55,0
