stage,Endothelial_cell,Hepatocyte,Immune_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,0,8.17,0,0,4.09,0,0
72hpf,0,0,0,3.21,0,3.21,0,2.14,0
21Day,0,0,0,6.69,0,0,0,0,1.34
3Month,0,0.32,0.32,1.6,1.28,0,0,0,0
22Month,0.55,1.09,0,0,0,0,0,0,0
