stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_cell,Retinal_cone_cell
24hpf,4.09,0,0,0,0,0,53.12,0,0,0
72hpf,0,1.07,0,0,0,18.19,22.47,1.07,3.21,1.07
21Day,0,0,0,0,1.34,10.71,5.35,0,1.34,0
22Month,0,0,1.09,0.55,0,0,0,0,0,0
