stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,4.28,0,0,0,2.14,7.49,9.63,0,0,0,0,0,0,1.07,0,0,0,0
21Day,2.68,0,2.68,12.05,1.34,4.02,0,5.35,0,0,1.34,9.37,2.68,5.35,8.03,0,1.34,1.34,33.46,0,0,1.34,1.34,17.4,12.05,0,0,0,9.37,9.37,0,1.34,2.68,0,0,1.34
3Month,0.96,1.6,6.08,34.87,0.32,0,1.28,0,18.88,6.4,0.32,512.56,4.16,0.32,105.9,2.24,5.76,8.64,19.52,1.92,1.28,3.52,49.91,2.56,0,0.96,0.96,0,0,8.96,6.4,1.28,0,7.36,5.12,3.52
22Month,1.09,4.92,3.28,34.99,0.55,0,3.83,0,12.03,7.11,28.43,883.39,2.73,0.55,164,0.55,3.28,11.48,24.6,0.55,15.31,9.29,2.73,3.28,1.09,8.75,2.19,0.55,0.55,1.09,3.83,1.09,0,2.19,0,2.19
