stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,8.17,44.95,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,6.42,2.14,3.21,0,0,0,0,1.07,0,2.14,10.7,0,5.35,0,0,0,908.25,32.09,1.07,0,14.98,0,0,2.14,1.07,0,0,0,0,0
21Day,6.69,0,0,8.03,0,25.43,0,1.34,0,0,1.34,6.69,2.68,5.35,1.34,9.37,0,0,0,554.15,14.72,0,0,10.71,14.72,2.68,4.02,2.68,1.34,0,0,0,1.34
3Month,0,0.96,0.32,1.92,0,0,0.32,0.32,9.28,0.32,0,1.6,0,0.96,0,0.96,0,0,0.32,3.84,0.32,0.64,0,0,0.32,7.04,0.32,0,0,0.32,0,0.32,0
22Month,0,1.64,0,1.64,0,0,0,1.64,42.09,0.55,0.55,1.64,0,0.55,1.09,3.83,4.37,0.55,0,2.19,0,1.09,1.09,0,0,12.03,0,0,0,1.09,0.55,0,0.55
