stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,151.2,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,0,0,0,0,0,0,0,0,292.05,0,1.07,0,0,0,13.91,4.28,0,0,1.07,0,0,1.07,0,0,0
21Day,2.68,0,1.34,108.42,5.35,1.34,0,0,0,1.34,1.34,2.68,595.65,25.43,8.03,0,4.02,0,12.05,9.37,0,1.34,6.69,2.68,0,0,2.68,0,1.34
3Month,0,1.6,0.64,97.26,0,0,1.92,7.04,2.24,0.96,4.8,3.84,2.24,21.12,1.92,0.64,0,0.32,0,0,0,0,0,0.64,10.88,0,0,138.54,1.6
22Month,0,0,0,8.75,0,0,0,6.56,0,0,1.64,0,0.55,13.67,0.55,0,0,0,0,0,1.09,0,0,0,18.04,0.55,0,0,0
