stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,16.06,0,0,0,1.34,0,0,1.34,1.34,0,1.34,0,0
3Month,0,1.28,0,0.32,0.64,0,1.92,0.96,0.96,0.64,0.32,15.04,0.64,0.96,0.32,0,0,0.64,0,0.32,5.76
22Month,0,0.55,0.55,0,0,0.55,6.56,0,0,0,0,1.64,3.28,0,0,0,0,0.55,0,0,3.28
