stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,36.78,0,0,0,0,0,0,0,0,0
72hpf,0,0,20.33,7.49,1.07,0,0,0,0,0,0,0,0,0,1.07,0,7.49,2.14,0,89.86,1.07,0,1.07,1.07,0,0,1.07,0,0,0
21Day,1.34,1.34,1.34,76.3,2.68,0,0,1.34,0,1.34,0,2.68,0,0,1.34,1.34,101.73,1.34,0,29.45,1.34,0,0,2.68,0,0,0,2.68,0,0
3Month,0,0,1.92,6.4,0,0,0,0.32,0.32,1.6,0.64,0,0.64,0.32,0.32,0.64,12.8,0.96,0.32,3.84,0,0.32,0,0,0.32,7.04,0,0,0.64,0.32
22Month,0,0,0,7.11,0,0.55,0.55,0.55,0,1.09,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0
