stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,8.56,0,0,0,0,0,0,0,4.28,1.07,0,0,0,1.07,0,0,4.28,0,0,0,0,0,0,0,0,0,0
21Day,1.34,1.34,2.68,0,0,0,2.68,0,20.08,0,10.71,1.34,4.02,0,1.34,0,0,0,0,1.34,1.34,2.68,0,1.34,0,1.34,1.34,0,0,0
3Month,0,2.56,8.64,0,0.32,0.32,18.88,0.96,111.02,2.24,52.79,0,0.32,1.6,2.24,0.96,0.32,2.88,0.32,0,0.32,1.6,0.64,2.24,6.72,0.32,0,0.96,1.6,0.32
22Month,0,0,0.55,0,0,0,2.19,0,1.64,0.55,47.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73,0,0,0.55,0,0
