stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,40.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,1.07,7.49,0,0,2.14,0,0,0,0,0,0,0
21Day,5.35,1.34,2.68,0,0,0,0,0,0,0,0,2.68,0,0,0,61.57,0,1.34,0,1.34,1.34,4.02,2.68,0,0,0
3Month,5.76,0.64,0,0.32,0.32,0,1.6,0.32,0.32,0,0,4.48,0.64,0.32,0.32,0,0,0,0,0,6.4,0,0,0.64,0.32,5.76
22Month,3.83,0,0,0,0.55,0.55,7.65,0,0,0,0,2.73,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0
