stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,4.09,4.09,16.35,24.52,0,0,0,0,28.6,118.51,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,3.21,0,2.14,0,1.07,0,0,0,0,0,0,0,2.14,0,2.14,3.21,23.54,12.84,0,0,3.21,0,23.54,11.77,0,0,36.37,0,0,5.35,0,2.14,0,0,0
21Day,2.68,1.34,0,9.37,0,4.02,0,0,1.34,0,0,0,0,6.69,0,0,2.68,24.09,24.09,0,0,9.37,0,8.03,2.68,0,0,16.06,0,0,1.34,1.34,4.02,0,0,2.68
3Month,0,7.68,0,18.56,0.64,0,0.32,0.64,5.76,0,0,60.15,4.8,1.92,1.92,2.56,16.96,111.34,21.44,2.56,0,0.96,2.88,2.56,0,0.64,1.92,1.28,2.24,3.2,0.64,0,0,7.36,1.28,2.56
22Month,0,13.12,1.64,7.65,0.55,0,0.55,2.19,8.2,17.49,0,43.19,1.64,3.28,2.73,0,2.73,109.33,16.95,0,3.83,2.19,0,0.55,0,0,0,2.73,0.55,0.55,4.37,0,0,1.09,0,2.73
