stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,8.17,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,6.42,3.21,0,0,0,0
21Day,0,1.34,1.34,0,0,0,0,0,0,0,0,0,2.68,1.34,0,4.02,1.34,0,1.34,0,0
3Month,0.32,2.24,0,0,0.96,0.64,2.56,0.32,0.32,0.96,0,0.32,0.64,0,0.64,0,0,0.32,2.24,7.36,0.96
22Month,0.55,0.55,0,0.55,0,0.55,1.64,0,0,1.09,0.55,0,0,0.55,0,0.55,0,0,0,0,0
