stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,5.35,0,1.34,0,2.68,0,0,8.03,18.74,1.34,0,0,0,1.34,1.34,0
3Month,0,2.24,0,1.6,0,0,0.64,0.64,0.96,0.32,0,6.08,0.32,0,0,0,0.64
22Month,0,0.55,0.55,1.09,0.55,0,0,0,0,0,0,0.55,0,0,0,0,0
