stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,3.21,1.07,0,0,0,0,0,0,0,1.07,18.19,2.14,1.07,0,0,0,0,0
21Day,1.34,0,0,1.34,0,0,1.34,1.34,1.34,0,30.79,0,1.34,1.34,0,1.34,0,0
3Month,0,0,0.32,0,0,0.64,0,0,0,0,0.64,0,0,0,0.32,0,0,0.32
22Month,0,0.55,2.73,0,0.55,4.37,0,2.19,0,0,0,0,0,0,0,0,0.55,0
