stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,0,2.68
3Month,0.96,0.32,7.04,3.84,1.6,7.36,4.8,0,5.44,0.32,1.6,2.56,0.32,0.32,0,1.28,0.32,0.64,0.32,0,0.32,3.52,0.32,0.32,0.32,3.84
22Month,0.55,0,2.73,3.83,5.47,15.85,2.73,3.28,18.04,0,0.55,2.73,1.64,0.55,0.55,0,0,1.09,0,1.09,0,0,0,1.09,0,3.28
