stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,16.35,36.78,0,0,0,4.09,0,0,0,0,40.86,8.17,16.35,192.06,0,0,4.09,12.26,2255.7,0,0,65.38,0,0,0,0,0,0,0,0,0
72hpf,10.7,3.21,13.91,3.21,0,0,0,0,0,0,0,4.28,9.63,1.07,18.19,0,1.07,5.35,544.52,244.98,1.07,0,40.65,0,0,39.58,1.07,0,1.07,0,0,0
21Day,1.34,0,13.39,4.02,5.35,0,0,0,0,2.68,5.35,1.34,6.69,2.68,16.06,0,4.02,0,224.87,140.55,0,1.34,17.4,10.71,0,12.05,2.68,5.35,0,0,0,1.34
3Month,0,0.64,6.72,0,0,0.64,0,3.52,0.64,0,2.56,22.72,0.32,0.64,1.6,0.64,1.6,40.95,0,0,0.32,0,0,0,0.96,0,0,0,0,0.96,0.64,0.32
22Month,0,0,0.55,0,0,0,0,4.37,0,0,1.64,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
