stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,1.34,2.68,0,2.68,0,0,1.34,0,0,0,33.46,0,0,0,6.69,0,0,0,4.02,0,9.37,0,2.68,2.68,0,0,0,0,81.65
3Month,0.64,0.64,4.48,0.64,0,1.28,0.96,5.44,0,5.12,4.8,4.8,0.32,0.96,0.96,39.35,5.76,3.84,0,0.96,0.32,0.64,0.32,0,0.32,0.96,0,0.32,0.96,158.69
22Month,0.55,0.55,1.64,0,0,0,0,3.83,1.09,12.03,1.64,2.19,2.73,0,0,21.32,3.28,0,0.55,0.55,0,0,0,1.09,0.55,0,0.55,0,0,113.16
