stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,24.52,0,49.04,0,0,0,0,0,0,0,0,4.09,4.09,32.69,8.17,0,0,28.6,3967.9,0,0,0,0,0,0,0,0,4.09,0
72hpf,46,7.49,19.26,5.35,21.4,0,0,0,0,0,0,8.56,49.21,3.21,51.35,0,2.14,3576.31,937.14,2.14,3.21,39.58,1.07,0,102.7,5.35,1.07,7.49,0
21Day,12.05,0,14.72,1.34,34.8,0,8.03,5.35,0,2.68,2.68,1.34,8.03,2.68,30.79,0,5.35,1011.93,314.56,1.34,0,12.05,13.39,0,53.54,2.68,9.37,1.34,4.02
3Month,0,0.32,2.88,0,0,0.32,0,1.28,1.6,0,0.96,0,0.64,0,0,0,0,4.16,1.28,0.32,0,0,0,0.96,0.64,0,0,0,0
22Month,0,0.55,0.55,0,0,0.55,0,11.48,0.55,0,0.55,0,0.55,1.64,4.37,1.09,0.55,17.49,0,0,0,0,0,2.19,3.83,0,0,0,0.55
