stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,8.17,0,36.78,0,0,0,0,0,0,0,0,36.78,4.09,0,49.04,0,0,0,8.17,645.65,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,8.56,0,3.21,0,0,0,0,0,0,5.35,14.98,0,9.63,0,0,0,84.51,62.05,1.07,1.07,0,13.91,1.07,65.26,0,0,1.07,0,0
21Day,0,0,0,6.69,1.34,1.34,0,0,0,0,0,0,2.68,1.34,1.34,10.71,0,0,0,9.37,12.05,0,0,0,1.34,0,1.34,0,1.34,0,0,0
3Month,0,0.32,0.32,22.72,0.64,0,0.32,0.64,0,2.24,0.96,1.6,7.68,1.28,0.32,1.92,0.32,0.32,0.96,3.2,0.32,0.32,0,0,1.6,28.48,0.32,0,0,0.64,29.44,0.64
22Month,0,0,0,30.07,0.55,0,0.55,0,2.19,8.75,0.55,2.19,0,0.55,0.55,1.09,0,0.55,0,2.19,0,0.55,0,0.55,0,15.31,3.83,1.09,0,1.09,0,0.55
