stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0,3.21,5.35,0,0,24.61
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,4.02,26.77
3Month,0,0,0.32,1.6,0.32,6.08,0.32,0,0.32,0.64,0.32,0.64,1.92,0,0.32,0.32,1.28,0.64,0.96,5.76
22Month,0,1.64,0.55,6.56,0,28.43,1.09,0.55,2.73,0,0,11.48,4.92,2.19,1.09,3.83,7.11,10.93,2.73,12.57
