stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,0,0,0,0,2.68,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,1.34,0,0,0,0,0
3Month,0.96,1.28,19.2,0,0.64,0.32,8,0.64,0,98.86,2.88,0.32,4.48,0.64,9.92,6.72,12.48,4.16,0,3.52,3.2,0,2.56,0.32,0,0.96,3.2,3.2,0,0.96,1.28,2.24,0.96
22Month,1.09,0,9.84,0,1.09,0,3.28,3.28,1.64,167.82,1.09,0.55,6.01,0.55,2.19,3.83,6.56,0,1.09,0,0.55,0,1.64,0,0.55,0,0,0.55,0.55,0,0,0,0.55
