stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,347.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,7.49,0,0,0,0,0,0,0,16.05,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,10.71,0,0,4.02,1.34,0,1.34,2.68,42.83,1.34,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,12.05
3Month,0.96,1.6,0.32,4.8,0,1.6,0.96,278.68,0,10.24,105.9,0,2.56,0.64,2.56,91.19,3.52,0,0.96,1.28,0,0,0,0,3.2,0.32,0.96,0,0.32,0.96,2.24,34.23
22Month,0.55,2.19,0,1.64,0,4.92,1.64,721.58,0.55,17.49,55.21,0.55,3.83,0,1.64,159.62,3.28,1.09,0,0.55,0,0.55,1.64,0.55,0,0,0,1.64,1.64,0,0,27.88
