stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0,0,23.54,3.21,0,0,0,2.14,0,0,5.35,0,0,0,0,0
21Day,1.34,0,6.69,5.35,0,4.02,0,0,2.68,0,1.34,0,0,2.68,6.69,1.34,2.68,0,0,4.02,0,153.93,8.03,0,0,0,2.68,2.68,0,41.49,1.34,8.03,0,0,1.34
3Month,0.32,0.32,2.88,0,0.32,0,0.32,0.64,5.12,0,4.16,1.28,0,1.28,0.32,0.64,1.6,0,0,0.64,0.64,1.92,0,0,0,0,0,0.32,3.52,79.99,0.32,0,0.32,4.48,0.64
22Month,0,1.09,2.73,0,2.19,0.55,0,1.09,160.72,1.64,12.03,0.55,1.09,6.01,1.09,3.83,2.19,1.64,0.55,0,0,1.64,0,0.55,0.55,7.11,0,0,2.19,234.51,5.47,0,0,0,1.64
