stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0,0
3Month,0.64,2.56,1.28,3.52,9.28,194.53,0.32,0.96,0.64,0.64,0.32,0.96,0,0,0.64,0.96,0.64,0.96,0.32,1.28
22Month,0,0,0,0,1.64,103.32,0,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0,0
