stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,130.76,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,9.63,7.49,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,1.34,0,1.34,2.68,0,1.34,0,0,0,0,0,13.39,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,2.68,0,0,0,10.71
3Month,0,0.32,7.36,0,0.96,0,2.24,0.96,0,8.96,1.92,5.12,2.56,1.28,1.28,3.52,1.6,0.32,0,0.32,0,0.32,0,0,0,2.24,156.14,0,0,1.28,21.76,39.67
22Month,0,1.64,1.64,0,0.55,0,1.09,4.37,1.09,34.44,1.64,0.55,5.47,0,0,1.09,2.19,0,1.09,0.55,0,0,0.55,1.09,0.55,0,12.57,0.55,0,0,0,8.75
