stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,109.12,0,0,0,0,0,0,1.07,0,0,3.21,1.07,0,0,0,16.05,2.14,0,0,2.14,0,0,0,0,0,0,0,0
21Day,2.68,0,1.34,2.68,109.76,0,1.34,0,1.34,0,0,38.82,1.34,4.02,14.72,2.68,0,1.34,0,2.68,1.34,0,0,1.34,2.68,0,0,1.34,1.34,0,0,13.39
3Month,0,0.96,0.64,4.48,0,5.44,0.64,0.64,65.59,2.88,20.48,14.4,3.2,0.32,52.79,2.24,0.64,0.96,1.28,0.96,0,1.28,0,0.32,1.28,2.56,0.32,0.32,0,0.64,1.92,55.67
22Month,0.55,2.19,0,0.55,0,2.73,0.55,1.09,69.43,16.4,18.59,19.13,1.09,0.55,53.03,3.28,1.09,0.55,0,1.09,0,0.55,0.55,0,0,1.09,0.55,0.55,0,0.55,0,13.12
