stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,57.21,245.18,0,1430.24,8.17,0,4.09,0,0,0,8.17,4.09,0,0,40.86,20.43,130.76,12.26,1328.08,0,143.02,3947.47,0,0,20.43,0,0,0,0,0,0
72hpf,0,4.28,0,24.61,2.14,7.49,0,0,0,0,0,0,0,0,0,0,1.07,0,7.49,0,13.91,13.91,0,1.07,35.3,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,8.03,4.02,0,0,0,1.34,8.03,0,0,0,0
3Month,0,0,0,4.16,0,0,0,0,1.28,0,0,4.8,0.32,0,0,0.32,1.28,0.32,1.6,0.96,0.96,0,0,3.2,0,0.96,11.52,0,0.96,13.76,0
22Month,0,0.55,0,1.09,0,0,0,0.55,2.19,10.93,0,8.2,0.55,0,0.55,0,1.09,1.64,2.73,0,0.55,0,0.55,4.92,0,0.55,8.2,0.55,0,0,0.55
