stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,1.07,0,0,0,0,0,0,20.33,0,0,1.07,0,0,2.14,1.07,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,1.34,12.05,1.34,0,0,0,0,2.68,6.69,0,0
3Month,0,0.32,0.64,0,3.52,0.32,0.32,0.32,0,0.64,0,0,0.32,0,0.32,3.84,0,0,0.32,0.32
22Month,0.55,0,0.55,0,4.37,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0
