stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,32.69,4.09,0,0,0,0,0,0,0,0,0,4.09,57.21,0,0,0,20.43,306.48,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,3.21,2.14,3.21,0,0,0,0,0,0,1.07,7.49,2.14,11.77,0,1.07,0,113.4,60.98,0,1.07,22.47,1.07,0,10.7,2.14,0,0,0
21Day,2.68,0,0,9.37,0,1.34,0,0,0,0,0,0,1.34,5.35,1.34,21.42,0,0,0,22.76,10.71,0,0,9.37,1.34,0,1.34,0,0,0,0
3Month,0.32,2.24,0.32,12.48,0.64,0,0.64,1.92,0,4.8,1.28,2.56,1.28,4.16,2.24,13.12,1.92,0.96,1.28,2.56,0,0.64,7.04,0,0.32,65.91,0.96,0,2.56,10.88,0.96
22Month,0,0,0,0,0,0,0,0.55,0.55,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,1.64,0,0,0,0,0,0,0,0
