stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,7.49,3.21,0,12.84,3.21,1.07,0,0,0,0,0,0,0,1.07,0,5.35,17.12,7.49,16.05,0,3.21,1.07,251.4,69.54,1.07,2.14,29.95,0,0,7.49,0,2.14,0,0,0
21Day,2.68,1.34,0,29.45,1.34,1.34,0,1.34,4.02,4.02,0,1.34,0,6.69,2.68,2.68,8.03,6.69,56.22,0,0,0,68.27,17.4,0,0,29.45,0,0,4.02,1.34,0,0,0,2.68
3Month,0.32,0.64,0,4.48,0,0,0.32,0,0.32,0.64,0,1.28,0,0,0.32,0.32,0.64,4.48,1.92,1.6,0.64,0.32,0.32,0,0,0.96,0,0.32,11.2,0,0,0,0.32,1.6,2.56
22Month,0,0,0.55,0,0,0,0,0,0,0.55,0,1.09,1.09,0,0,0,0,1.09,2.19,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0.55,0,0
